rank,name,version,downloads,kind,baseline_build_secs,slicer_build_secs,speedup,status
2292,feature-probe,0.1.1,12223419,lib,1.28,1.06,1.208,both_built
2293,daemonize,0.5.0,12217120,lib,4.17,3.0,1.39,both_built
2294,android-properties,0.2.2,12204557,lib,1.53,3.0,0.51,both_built
2295,alloy-rlp-derive,0.3.15,12190237,lib,3.85,14.36,0.268,both_built
2296,spade,2.15.1,12162039,lib,72.01,27.79,2.591,both_built
2297,tantivy-query-grammar,0.26.0,12161610,lib,60.63,27.49,2.206,both_built
2298,trie-db,0.31.0,12150902,lib,5.85,4.97,1.177,both_built
2299,curve25519-dalek-ng,4.1.1,12142949,lib,8.76,9.13,0.959,both_built
2300,simd-json,0.17.0,12138735,lib,6.48,0,0,baseline_failed
2301,wasmtime-cache,24.0.7,12119381,lib,82.33,66.48,1.238,both_built
2302,inquire,0.9.4,12092690,lib,25.03,21.28,1.176,both_built
2303,unescaper,0.1.8,12090422,lib,14.34,6.83,2.1,both_built
2304,alsa-sys,0.4.0,12087665,bin,14.13,3.95,3.577,both_built
2305,tantivy-common,0.11.0,12077827,lib,39.39,31.67,1.244,both_built
2306,cpp_common,0.5.11,12050094,lib,19.28,18.37,1.05,both_built
2307,egui_glow,0.34.1,12049823,lib,180.67,44.24,4.084,both_built
2308,block-sys,0.2.1,12044735,lib,6.51,0.88,7.398,both_built
2309,tantivy-bitpacker,0.10.0,12011847,lib,51.46,28.51,1.805,both_built
2310,xml5ever,0.39.0,12011214,lib,18.61,24.04,0.774,both_built
2311,accesskit_winit,0.32.2,12002634,lib,119.27,91.57,1.303,both_built
2312,derivation-path,0.2.0,11991420,lib,1.34,0.62,2.161,both_built
2313,trim-in-place,0.1.7,11973206,lib,1.78,0.24,7.417,both_built
2314,ownedbytes,0.9.0,11969858,lib,9.8,3.53,2.776,both_built
2315,neon,1.2.0-alpha.0,11963168,,,,,not_run
2316,sea-query-derive,1.0.0-rc.12,11962766,lib,19.5,55.8,0.349,both_built
2317,jemalloc-ctl,0.5.4,11934602,lib,10.48,0,0,baseline_failed
2318,libp2p-ping,0.47.0,11932088,lib,151.3,131.23,1.153,both_built
2319,halfbrown,0.4.0,11927190,lib,10.43,4.2,2.483,both_built
2320,gix-status,0.29.0,11897003,lib,4.44,0,0,baseline_failed
2321,mongodb,3.6.0,11889926,lib,188.57,157.69,1.196,both_built
2322,walrus-macro,0.26.0,11880348,lib,24.09,11.54,2.088,both_built
2323,tray-icon,0.22.1,11874908,,,,,not_run
2324,planus,1.3.0,11872876,lib,17.52,7.7,2.275,both_built
2325,schnellru,0.2.4,11858619,lib,27.34,19.89,1.375,both_built
2326,rusoto_s3,0.48.0,11858006,lib,243.71,111.09,2.194,both_built
2327,eframe,0.34.1,11852751,lib,213.24,216.78,0.984,both_built
2328,array-init-cursor,0.2.1,11831895,lib,0.62,0.29,2.138,both_built
2329,arcstr,1.2.0,11824929,lib,3.46,0.62,5.581,both_built
2330,sendfd,0.4.4,11819780,lib,22.88,11.1,2.061,both_built
2331,joinery,3.1.0,11789915,lib,2.71,0.38,7.132,both_built
2332,cranelift-bitset,0.131.0,11777846,lib,2.81,7.43,0.378,both_built
2333,pnet,0.35.0,11756017,lib,3.21,0,0,baseline_failed
2334,pgvector,0.4.1,11751176,lib,8.79,0.75,11.72,both_built
2335,seccompiler,0.5.0,11734091,lib,6.09,4.28,1.423,both_built
2336,ringbuf,0.4.8,11732353,lib,5.53,2.15,2.572,both_built
2337,copyless,0.1.5,11730671,lib,4.92,0.2,24.6,both_built
2338,alloy-eips,2.0.1,11720868,lib,27.77,24.69,1.125,both_built
2339,solana-logger,3.0.0,11684627,lib,112.94,102.91,1.097,both_built
2340,hex_fmt,0.3.0,11681760,lib,1.24,0.24,5.167,both_built
2341,value-trait,0.12.1,11652558,lib,9.48,6.36,1.491,both_built
2342,cpp_build,0.5.11,11631753,lib,36.52,31.45,1.161,both_built
2343,libappindicator-sys,0.9.0,11608757,lib,86.14,132.7,0.649,both_built
2344,cpp,0.5.11,11607832,lib,15.11,15.35,0.984,both_built
2345,pnet_transport,0.35.0,11602233,lib,23.7,0,0,baseline_failed
2346,polkavm-common,0.33.0,11596020,lib,37.79,6.96,5.43,both_built
2347,c-kzg,2.1.7,11590037,lib,96.92,35.56,2.726,both_built
2348,libappindicator,0.9.0,11573094,lib,260.58,330.83,0.788,both_built
2349,version-ranges,0.1.3,11549572,lib,3.85,4.01,0.96,both_built
2350,cron,0.16.0,11547042,lib,15.23,31.65,0.481,both_built
2351,google-cloud-storage,1.11.0,11518100,lib,219.8,141.33,1.555,both_built
2352,thin-slice,0.1.1,11516226,lib,1.36,0,0,baseline_failed
2353,pathfinder_simd,0.5.6,11500490,lib,13.32,9.84,1.354,both_built
2354,cpp_macros,0.5.11,11495774,lib,8.75,10.53,0.831,both_built
2355,libp2p-request-response,0.29.0,11482952,lib,130.22,156.03,0.835,both_built
2356,font-kit,0.14.3,11473710,lib,15.01,42.19,0.356,both_built
2357,memory-stats,1.2.0,11450134,lib,12.87,2.44,5.275,both_built
2358,base16,0.2.1,11449404,lib,5.16,0.25,20.64,both_built
2359,lambda_runtime_api_client,1.0.3,11424931,lib,48.32,75.9,0.637,both_built
2360,solana-sdk,4.0.1,11406570,,,,,not_run
2361,neon-macros,1.2.0-alpha.0,11404830,lib,12.4,25.51,0.486,both_built
2362,msvc-demangler,0.11.0,11383950,bin,9.46,5.7,1.66,both_built
2363,hound,3.5.1,11367360,lib,2.73,0.45,6.067,both_built
2364,cgl,0.3.2,11353747,lib,0.8,0,0,baseline_failed
2365,azure_svc_blobstorage,0.21.0,11350486,lib,55.04,149.98,0.367,both_built
2366,alloy-serde,2.0.1,11349768,lib,36.29,16.48,2.202,both_built
2367,unicode-general-category,1.1.0,11317487,lib,2.93,1.65,1.776,both_built
2368,debug-ignore,1.0.5,11304875,lib,1.65,0.35,4.714,both_built
2369,pathfinder_geometry,0.5.1,11299566,lib,16.0,10.83,1.477,both_built
2370,hash256-std-hasher,0.15.2,11286956,lib,5.11,1.92,2.661,both_built
2371,sled,1.0.0-alpha.124,11261557,,,,,not_run
2372,awc,3.8.2,11250080,lib,73.55,84.96,0.866,both_built
2373,multiversion,0.8.0,11238282,lib,14.17,9.58,1.479,both_built
2374,multiversion-macros,0.8.0,11228489,lib,14.22,21.43,0.664,both_built
2375,ed25519-dalek-bip32,0.3.0,11223608,lib,24.29,71.98,0.337,both_built
2376,bitcoin-internals,0.2.1,11219509,lib,1.78,0.42,4.238,both_built
2377,pharos,0.5.3,11200455,lib,100.31,38.91,2.578,both_built
2378,serde_html_form,0.4.0,11199454,lib,23.51,11.77,1.997,both_built
2379,target-spec,3.6.0,11152492,lib,44.61,25.74,1.733,both_built
2380,capnp,0.25.4,11151415,lib,10.44,3.58,2.916,both_built
2381,rocket,0.5.1,11113501,,,,,not_run
2382,macro_magic_core_macros,0.6.0,11110171,lib,11.44,7.53,1.519,both_built
2383,macro_magic_macros,0.6.0,11100400,lib,19.25,12.16,1.583,both_built
2384,macro_magic_core,0.6.0,11094590,lib,24.43,24.67,0.99,both_built
2385,macro_magic,0.6.0,11083542,lib,19.15,12.65,1.514,both_built
2386,constcat,0.6.1,11081237,lib,1.73,0.18,9.611,both_built
2387,temp-env,0.3.6,11079774,lib,14.12,7.28,1.94,both_built
2388,riff,2.0.0,11071653,lib,1.78,0.25,7.12,both_built
2389,rocket_codegen,0.5.1,11070333,lib,73.33,89.71,0.817,both_built
2390,quad-rand,0.2.3,11064998,lib,2.15,0.21,10.238,both_built
2391,rasn,0.28.13,11055857,lib,78.1,34.12,2.289,both_built
2392,winres,0.1.12,11054971,lib,33.83,14.42,2.346,both_built
2393,rasn-derive,0.28.13,11043229,lib,42.36,54.63,0.775,both_built
2394,base64-url,3.0.3,11033657,lib,4.02,4.52,0.889,both_built
2395,embed_plist,1.2.2,11025978,lib,1.24,0.2,6.2,both_built
2396,polars-utils,0.53.0,11012293,lib,87.83,33.72,2.605,both_built
2397,alloy-dyn-abi,1.5.7,11003307,lib,62.36,36.6,1.704,both_built
2398,color-print,0.3.7,10989273,lib,26.17,9.17,2.854,both_built
2399,aws-sign-v4,0.3.0,10978910,lib,73.84,52.97,1.394,both_built
2400,color-print-proc-macro,0.3.7,10973453,lib,20.14,14.26,1.412,both_built
